Provinsi,Harga
Sulawesi Selatan,12700
Nusa Tenggara Barat,13200
Sumatera Utara,13250
Lampung,13400
Sulawesi Barat,13450
Aceh,13650
Jawa Timur,13650
Jawa Tengah,13700
Jambi,13800
DI Yogyakarta,13800
Sulawesi Utara,13900
Jawa Barat,13950
Sulawesi Tenggara,14100
Sulawesi Tengah,14200
Bali,14250
Sumatera Selatan,14500
Kepulauan Bangka Belitung,14500
Banten,14600
Gorontalo,14600
Maluku,14650
