Provinsi,Harga
Bali,14500
Nusa Tenggara Barat,16450
Jawa Timur,19500
Sumatera Barat,20000
Jawa Tengah,21500
Nusa Tenggara Timur,21500
Jambi,22150
Lampung,22400
Banten,23100
Kalimantan Selatan,23250
Sulawesi Barat,23350
Riau,23400
Sulawesi Selatan,24200
Jawa Barat,24700
Kalimantan Tengah,25000
DI Yogyakarta,26250
Kalimantan Barat,26300
Sumatera Utara,26450
Aceh,26850
Sulawesi Tengah,27650
