Provinsi,Harga
Nusa Tenggara Barat,31650
Sulawesi Selatan,32700
Bali,34500
Jawa Timur,34550
Sulawesi Barat,37900
Jawa Tengah,39300
Aceh,39750
DI Yogyakarta,41650
Sumatera Utara,42450
Lampung,42850
Kalimantan Selatan,44050
Sumatera Selatan,44500
Riau,44650
Sumatera Barat,45250
Jambi,46900
Jawa Barat,47200
Banten,48000
DKI Jakarta,50850
Kalimantan Timur,54900
Sulawesi Tenggara,57500
