Provinsi,Harga
Lampung,31900
Bali,32250
Jawa Timur,32600
Jambi,34400
Sumatera Utara,35100
Riau,35150
Kalimantan Barat,35350
Jawa Tengah,35500
Sumatera Selatan,36000
Nusa Tenggara Barat,36200
Aceh,36350
Sulawesi Selatan,36850
Sumatera Barat,36900
Banten,36900
Kalimantan Selatan,37000
Kalimantan Tengah,37000
Kepulauan Bangka Belitung,37750
Sulawesi Barat,37750
Jawa Barat,38750
Kalimantan Timur,39000
